"id","nombre","keywords","horario","preciosimbolo","calificacion","top1","top2","link","comida","servicio","calidad","ambiente","detalles_precios","detalles_tipo_comida","detalles_comida","detalles_dietas","detalles_caracteristicas","direccion","mail","telefono","calle","pais","localidad","direccionextra","longitude","latitude","n_opiniones","opiniones_excelente","opiniones_muy_bueno","opiniones_regular","opiniones_pesimo","opiniones_malo"
1950,"Chivirico","cocktail","12:00 - 19:30","-","4.5"," **N.º 8** de 10 Mexicana en Celestún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g664925-d13202249-Reviews-Chivirico-Celestun_Yucatan_Peninsula.html","0","0","0","0","-","Mexicana, Mariscos","Almuerzo, Cena","-","-","Calle 11 Esquina, Celestún 97367 México","","","Calle 11","México","Celestún 97367,","Esquina","-90.400238","20.861139",5,1,3,0,0,0
1951,"Mariscos Tía Licha Polvorin","cocktail","","-","3.5","**N.º 107** de 150 Mexicana en Cuernavaca","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150797-d13313010-Reviews-Mariscos_Tia_Licha_Polvorin-Cuernavaca_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Mexicana, Mariscos","-","-","-","Av. Estado de Puebla 161, Cuernavaca 62080 México","","+52 777 361 7879","Av. Estado de Puebla 161","México","Cuernavaca 62080,","","-99.22448","18.873249",4,0,1,2,0,0
1952,"Las Delicias del Mar","cocktail","10:00 - 18:00","$","4.5"," **N.º 7** de 8 Mariscos en Ciudad Valles","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499409-d12940469-Reviews-Las_Delicias_del_Mar-Ciudad_Valles_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$40 - $220","Mariscos","Almuerzo, Bebidas","-","-","Pedro Antonio Santos y Escontria Es en Esquina a una cuadra del Jardín, Ciudad
Valles 79000 México","lasdeliciasdelmarvalles@gmail.com","+52 481 382 3695","Pedro Antonio Santos y Escontria","México","Ciudad Valles 79000,","Es en Esquina a una cuadra del Jardín","-99.019409","21.987202",8,6,1,1,0,0
1953,"Mr. Bou","cocktail","Ver todos los horarios","$","5"," **N.º 40** de 48 Bar en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d11045880-Reviews-Mr_Bou-Puebla_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Bar, Pizzería, Pub","Cena","-","Reservaciones, Estacionamiento disponible, Estacionamiento en la calle, Sirve
alcohol, Bar completo, Vino y cerveza, Acepta Mastercard, Acepta Visa, Wi-Fi
gratis","Teziutlan Sur 79, Puebla 72160 México","hola@mrbou.mx","+52 222 535 2960","Teziutlan Sur 79","México","Puebla 72160,","","-98.229347","19.054153",5,4,0,0,0,0
1954,"La Carnada","cocktail","Ver todos los horarios","$","4.5"," **N.º 6** de 6 Cervecería en Ensenada","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150770-d12568350-Reviews-La_Carnada-Ensenada_Ensenada_Municipality_Baja_California.html","0","0","0","0","$25 - $150","Cervecería, Mariscos, Pub, Fusión, Bar de vinos, Comida de calle","Almuerzo, Cena","-","-","Calle Blancarte 184 Entre Primera y Segunda, Ensenada, Municipio de Ensenada
22800 México","lacarnadaensenada@gmail.com","+52 272 102 4696","Calle Blancarte 184","México","Ensenada, Municipio de Ensenada 22800,","Entre Primera y Segunda","-116.691422","31.889322",3,2,0,1,0,0
1955,"Las Delicias del Mar","cocktail","10:00 - 18:00","$","4.5"," **N.º 7** de 8 Mariscos en Ciudad Valles","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499409-d12940469-Reviews-Las_Delicias_del_Mar-Ciudad_Valles_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$40 - $220","Mariscos","Almuerzo, Bebidas","-","-","Pedro Antonio Santos y Escontria Es en Esquina a una cuadra del Jardín, Ciudad
Valles 79000 México","lasdeliciasdelmarvalles@gmail.com","+52 481 382 3695","Pedro Antonio Santos y Escontria","México","Ciudad Valles 79000,","Es en Esquina a una cuadra del Jardín","-99.019409","21.987202",8,6,1,1,0,0
1956,"Coquitos Ostería de Playa","cocktail","","$$ - $$$","4","**N.º 1** de 1 Peruana en Tuxtla Gutiérrez","-","https://www.tripadvisor.com.mx//Restaurant_Review-g317142-d12701228-Reviews-Coquitos_Osteria_de_Playa-Tuxtla_Gutierrez_Southern_Mexico.html","0","0","0","0","$100 - $300","Pizzería, Mariscos, Peruana, Sudamericana","-","-","-","Primavera 237, Jardines de Tuxtla Esquina Orquídea, Tuxtla Gutiérrez 29020
México","","+52 961 101 3037","Primavera 237, Jardines de Tuxtla","México","Tuxtla Gutiérrez 29020,","Esquina Orquídea","-93.151718","16.756819",5,2,2,1,0,0
1957,"Marisqueria,cocteleria Y Pescaderia El Chino","cocktail","","$","4.5","**N.º 153** de 283 Mexicana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d12125593-Reviews-Marisqueria_cocteleria_Y_Pescaderia_El_Chino-Tulum_Yucatan_Peninsula.html","40","45","45","0","$35 - $410","Mariscos, Mexicana","Cena, Almuerzo","-","-","Avenida Tulum x Esquina Luna Norte,col.centro, Tulum 77760 México","elchino-tulum@outlook.com","+52 984 688 2268","Avenida Tulum x Esquina Luna Norte,col.centro","México","Tulum 77760,","","-87.468346","20.209499",15,8,4,0,0,0
1958,"Mariscos Los Yaquis","cocktail","","-","4.5","**N.º 9** de 12 Sudamericana en Metepec","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1065261-d10026883-Reviews-Mariscos_Los_Yaquis-Metepec_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Sudamericana","-","-","-","Avenida Tecnologico 901 Colonia Bellavista, Metepec México","","+52 722 705 3873","Avenida Tecnologico 901","México","Metepec,","Colonia Bellavista","-99.575676","19.271856",3,2,1,0,0,0
1959,"Restaurante Aerocosteño Tabasco 2000","cocktail","","-","5","**N.º 7** de 8 Bar en Villahermosa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g249850-d10316423-Reviews-Restaurante_Aerocosteno_Tabasco_2000-Villahermosa_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Mariscos, Bar, Pub","-","-","-","Avenida Samarkanda Local 6 Plaza Oropesa 116 Plaza Oropesa, Villahermosa 86035
México","salvadoresteban15@hotmail.com","+52 993 315 1264","Avenida Samarkanda Local 6 Plaza Oropesa 116","México","Villahermosa 86035,","Plaza Oropesa","-92.943588","18.005529",6,5,1,0,0,0
1960,"La Estrella Restaurante","cocktail","","-","3","**N.º 2** de 4 Mariscos en Piedras Negras","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499439-d14155598-Reviews-La_Estrella_Restaurante-Piedras_Negras_Northern_Mexico.html","0","0","0","0","-","Mariscos","-","-","-","Av. Roman Cepeda 207, Piedras Negras 26010 México","","","Av. Roman Cepeda 207","México","Piedras Negras 26010,","","-100.5336","28.69236",6,1,2,0,0,2
1961,"Mariscos Mi Jacalito","cocktail","11:00 - 19:00","-","4"," **N.º 19** de 29 Mariscos en Rosarito","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150774-d11828782-Reviews-Mariscos_Mi_Jacalito-Rosarito_Baja_California.html","0","0","0","0","-","Mariscos","Almuerzo, Cena","-","-","Boulevard Benito Juarez No. 568 Zona Centro, Rosarito México","mijacalito7@gmail.com","","Boulevard Benito Juarez No. 568","México","Rosarito,","Zona Centro","-117.059586","32.351772",7,5,0,1,0,1
1962,"Ambarino Bar","cocktail","Ver todos los horarios","$","5"," **N.º 75** de 93 Mexicana en Xalapa","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154235-d12030554-Reviews-Ambarino_Bar-Xalapa_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$25 - $84","Mexicana, Estadounidense, Bar, Comida rápida, Contemporánea, Pub","Almuerzo, Cena","-","-","Magnolia 79 Colonia Venustiano Carranza, Xalapa 91070 México","ambarino79@gmail.com","+52 228 818 8234","Magnolia 79","México","Xalapa 91070,","Colonia Venustiano Carranza","-96.929939","19.523682",5,4,1,0,0,0
1963,"Jardín Manuia Restaurante","cocktail","","$$ - $$$","5","**N.º 128** de 171 Mexicana en Acapulco","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150787-d10583113-Reviews-Jardin_Manuia_Restaurante-Acapulco_Pacific_Coast.html","45","45","45","0","-","Mexicana","Cena, Brunch","-","Reservaciones, Asiento, Servicio de mesa","Andres Sufrend Nº 53 casi esquina con Fernando de Magallanes, Acapulco 39850
México","","+52 744 484 6136","Andres Sufrend Nº 53","México","Acapulco 39850,","casi esquina con Fernando de Magallanes","-99.845383","16.851822",11,8,1,0,0,0
1964,"Maya Fruits","cocktail","","$","5","**N.º 85** de 127 Restaurantes en Valladolid","-","https://www.tripadvisor.com.mx//Restaurant_Review-g499453-d8779210-Reviews-Maya_Fruits-Valladolid_Yucatan_Peninsula.html","0","0","0","0","$20 - $30","-","-","-","-","Calle 25 X, Valladolid 97780 México","mayafruits@hotmail.com","+52 985 100 4490","Calle 25 X","México","Valladolid 97780,","","-88.18573","20.705351",6,6,0,0,0,0
1965,"Mezcalina","cocktail","Ver todos los horarios","$","4.5"," **N.º 127** de 171 Mexicana en Acapulco","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150787-d9735322-Reviews-Mezcalina-Acapulco_Pacific_Coast.html","0","0","0","0","$100 - $200","Mexicana, Cervecería, Pub, Gastropub","Abierto hasta tarde, Bebidas, Cena","-","-","Costera Miguel Aleman #3007 Local 10, Acapulco 39850 México","","+52 744 481 1590","Costera Miguel Aleman #3007","México","Acapulco 39850,","Local 10","-99.853592","16.851959",12,8,2,1,0,0
1966,"Roberto's Tequila & Cerveza Bar","cocktail","","-","3.5","**N.º 7** de 7 Internacional en Ixtapan de la Sal","-","https://www.tripadvisor.com.mx//Restaurant_Review-g317136-d4163610-Reviews-Roberto_s_Tequila_Cerveza_Bar-Ixtapan_de_la_Sal_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Internacional","-","-","-","Calle Jose Maria Morelos s/n Ixtapan de la Sal Marriott Hotel, Ixtapan de la
Sal 51900 México","","+52 721 143 2010","Calle Jose Maria Morelos s/n","México","Ixtapan de la Sal 51900,","Ixtapan de la Sal Marriott Hotel","-99.673477","18.844709",3,1,0,2,0,0
1967,"Forestruck Food Truck Leon","cocktail","","-","3.5","**N.º 22** de 34 Comida rápida en León","-","https://www.tripadvisor.com.mx//Restaurant_Review-g154240-d10540489-Reviews-Forestruck_Food_Truck_Leon-Leon_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Comida rápida","-","-","-","Boulevard Juan Alonso de Torres Pte. 455 Fraccionamiento de los Gomez, León
37150 México","","+52 477 724 3276","Boulevard Juan Alonso de Torres Pte. 455","México","León 37150,","Fraccionamiento de los Gomez","-101.698586","21.153784",7,3,0,2,1,0
1968,"D’Hector","cocktail","","$","4","**N.º 14** de 49 Restaurantes en Cuautla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g777811-d4795639-Reviews-D_Hector-Cuautla_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","-","Desayuno, Cena, Brunch","-","Asiento, Servicio de mesa, Acceso para silla de ruedas","Avenida de los Insurgentes 141 Col Emiliano Zapata, Cuautla 62748 México","","+52 735 152 0514","Avenida de los Insurgentes 141","México","Cuautla 62748,","Col Emiliano Zapata","-98.942101","18.843657",12,4,6,1,1,0
1969,"Barecito Café","cocktail","","$$ - $$$","4.5","**N.º 8** de 17 Bar en Cuernavaca","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150797-d10508892-Reviews-Barecito_Cafe-Cuernavaca_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Bar, Pub","-","-","-","Calle Comonfort 17 A unas cuadras de la catedral, Cuernavaca 62000 México","","+52 777 314 1425","Calle Comonfort 17","México","Cuernavaca 62000,","A unas cuadras de la catedral","-99.222099","18.913429",7,3,3,0,0,0
1970,"La cocina AlmaViva","cocktail","","$$ - $$$","4.5","**N.º 35** de 60 Italiana en Tulum","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150813-d8548435-Reviews-La_cocina_AlmaViva-Tulum_Yucatan_Peninsula.html","45","45","45","0","$80 - $280","Italiana, Mediterránea, Fusión","Almuerzo, Cena","-","-","Centauro Sur 78, Tulum 77760 México","almaviva.mex@gmail.com","+52 984 802 5537","Centauro Sur 78","México","Tulum 77760,","","-87.459351","20.211803",34,14,3,1,0,1
1972,"Restaurante Casa Coyotepec","cocktail","8:00 - 20:00","$$ - $$$","4.5"," **N.º 1** de 2 Mexicana en San Bartolo","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1602412-d3149403-Reviews-Restaurant_Casa_Coyotepec-San_Bartolo_Southern_Mexico.html","0","0","0","0","-","Mexicana, Mariscos","Bebidas, Desayuno, Almuerzo, Cena, Brunch","-","Comida para llevar, Estacionamiento disponible, Estacionamiento en la calle,
Estacionamiento para clientes, Televisión, Sillitas altas disponibles, Sirve
alcohol, Vino y cerveza, Solo pago en efectivo, Wi-Fi gratis, Reservaciones,
Asiento, Acceso para silla de ruedas, Servicio de mesa","Hidalgo #25, San Bartolo 71294 México","","","Hidalgo #25","México","San Bartolo 71294,","","-96.707321","16.957001",15,12,2,1,0,0
1973,"ReMar","cocktail","13:00 - 2:00","-","4.5"," **N.º 22** de 49 Mariscos en Puebla","-","https://www.tripadvisor.com.mx//Restaurant_Review-g152773-d4766692-Reviews-ReMar-Puebla_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","-","Mariscos","Almuerzo, Cena","-","Reservaciones","Calle Tehuacan Norte # 24, Puebla 72160 México","","","Calle Tehuacan Norte # 24","México","Puebla 72160,","","-98.22258","19.055048",9,6,3,0,0,0
1974,"Punto San Telmo","cocktail","8:00 - 23:30","$$ - $$$","5"," **N.º 41** de 56 Mexicana en Isla Holbox","-","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d20030540-Reviews-Punto_San_Telmo-Holbox_Island_Yucatan_Peninsula.html","0","0","0","0","$47 - $471","Mexicana, Mariscos","Desayuno, Almuerzo, Cena, Brunch, Bebidas","-","-","Calle Palomino Calle Palomino Frente las letras Holbox, Isla Holbox 77310
México","puntosantelmooficial@gmail.com","+52 981 113 8051","Calle Palomino","México","Isla Holbox 77310,","Calle Palomino Frente las letras Holbox","-87.379799","21.525061",6,4,0,0,0,0
1975,"Bekeb Artisanal Mixology","cocktail","Ver todos los horarios","$","5"," **N.º 56** de 215 Mexicana en San Miguel de Allende","-","https://www.tripadvisor.com.mx//Restaurant_Review-g151932-d20103699-Reviews-Bekeb_Artisanal_Mixology-San_Miguel_de_Allende_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$90 - $180","Mexicana, Latina, Bar, Española, Pub","Almuerzo, Cena, Bebidas","-","-","Calle Mesones 14 Terraza del Hotel Casa Hoyos, San Miguel de Allende 37729
México","info@bekeb.mx","+52 415 688 1355","Calle Mesones 14","México","San Miguel de Allende 37729,","Terraza del Hotel Casa Hoyos","-100.740997","20.915209",20,13,1,0,0,0
1976,"Robata Japanese Grill","cocktail","","$$ - $$$","4","**N.º 3** de 7 Japonesa en Metepec","-","https://www.tripadvisor.com.mx//Restaurant_Review-g1065261-d19068675-Reviews-Robata_Japanese_Grill-Metepec_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$300 - $500","Japonesa, Helados y dulces japoneses, Fusión japonesa","-","-","Reservaciones","Avenida Ignacio Comonfort 1100 Residencial la Providencia, Metepec 52177
México","hola@robata.mx","+52 722 688 8754","Avenida Ignacio Comonfort 1100","México","Metepec 52177,","Residencial la Providencia","-99.607063","19.27323",7,4,1,1,1,0
1977,"Frarsa","cocktail","","$$$$","5","**N.º 10** de 26 Contemporánea en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d16856611-Reviews-Frarsa-Guadalajara_Guadalajara_Metropolitan_Area.html","0","0","0","0","$200 - $600","Contemporánea, Fusión","-","-","Reservaciones","Gdl. Lopez Cotilla 1752 Colonia Moderna, Guadalajara 44160 México","info@frarsa.com","+52 656 666 3951","Gdl. Lopez Cotilla 1752","México","Guadalajara 44160,","Colonia Moderna","-103.372871","20.67371",8,7,0,0,0,0
1978,"La Boca Parrilla Argentina","cocktail","Ver todos los horarios","$$ - $$$","3.5"," **N.º 18** de 23 Argentina en Cancún","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150807-d3410998-Reviews-La_Boca_Parrilla_Argentina-Cancun_Yucatan_Peninsula.html","0","0","0","0","$235 - $706","Argentina, Sudamericana","Almuerzo, Cena","-","-","Av Palenque #2 sm 26 m 38 Esqiina 1 De Mayo, Cancún 77509 México","labocaparrillaargentina@hotmail.com","+52 998 251 0139","Av Palenque #2 sm 26 m 38","México","Cancún 77509,","Esqiina 1 De Mayo","-86.835808","21.156759",8,3,0,1,0,1
1979,"SP Restaurante","cocktail","8:00 - 22:00","$$ - $$$","4.5"," **N.º 56** de 285 Mexicana en Oaxaca","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150801-d3575509-Reviews-SP_Restaurante-Oaxaca_Southern_Mexico.html","45","45","40","45","$100 - $350","Mexicana","-","Apto para vegetarianos","-","Prolongacion de Independencia 902 Col. Centro, Oaxaca 68000 México","sanpablocafeoaxaca@hotmail.com","+52 951 501 2148","Prolongacion de Independencia 902","México","Oaxaca 68000,","Col. Centro","-96.723167","17.061275",112,52,30,8,5,4
1980,"California Pizza Kitchen","cocktail","","$$ - $$$","3.5","**N.º 28** de 54 Italiana en Monterrey","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150782-d7885883-Reviews-California_Pizza_Kitchen-Monterrey_Northern_Mexico.html","40","40","35","0","-","Pizzería, Italiana","Cena","Apto para vegetarianos","-","Avenida Revolucion 2703 Plaza Nuevo Sur, Monterrey 64830 México","","","Avenida Revolucion 2703","México","Monterrey 64830,","Plaza Nuevo Sur","-100.275688","25.65346",58,8,19,19,5,3
1981,"el carnal","cocktail","","$$ - $$$","3.5","**N.º 143** de 433 Mexicana en Guadalajara","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150798-d874053-Reviews-El_carnal-Guadalajara_Guadalajara_Metropolitan_Area.html","40","40","40","30","-","Mariscos, Mexicana","Almuerzo, Cena","-","Asiento, Sirve alcohol, Comida para llevar, Televisión, Servicio de mesa","Nebulosa, Guadalajara México","","+52 33 3623 0052","Nebulosa","México","Guadalajara,","","-103.389198","20.6647",77,21,22,14,6,5
1982,"Gin Gin Álvaro Obregón","cocktail","","$$ - $$$","4","**N.º 252** de 440 Internacional en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d15550428-Reviews-Gin_Gin_Alvaro_Obregon-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$350 - $650","Internacional, Contemporánea","-","-","Reservaciones","Córdoba 107, Roma Norte, Ciudad de México 06700 México","mlopez@iegroup.mx","+52 55 5204 3613","Córdoba 107, Roma Norte","México","Ciudad de México 06700,","","-99.158638","19.418413",8,3,3,1,0,1
1983,"Talisman de Motolinia","cocktail","Ver todos los horarios","$","4"," **N.º 1,057** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d10397974-Reviews-Talisman_de_Motolinia-Mexico_City_Central_Mexico_and_Gulf_Coast.html","0","0","0","0","$150 - $400","Mexicana","Almuerzo, Cena, Bebidas","-","-","Motolinia 31 Colonia Centro, Ciudad de México 06000 México","talismandemotolinia@gmail.com","+52 55 5510 4595","Motolinia 31","México","Ciudad de México 06000,","Colonia Centro","-99.137398","19.43298",8,3,3,1,0,0
1984,"Trattoria la pasta","cocktail","12:30 - 17:00","$$ - $$$","4.5"," **N.º 8** de 85 Italiana en Mérida","Certificado de ExcelenciaGanador en 2016, 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150811-d1995949-Reviews-Trattoria_La_Pasta-Merida_Yucatan_Peninsula.html","45","45","45","45","$141 - $235","Italiana, Pizzería, Internacional, Europea","-","Apto para vegetarianos, Opciones veganas","-","Paseo de Montejo 481 x 39 y 41 Centro int 108 y 108-A, Mérida 97000 México","info@trattorialapasta.com","+52 999 157 8986","Paseo de Montejo 481 x 39 y 41 Centro int 108 y 108-A","México","Mérida 97000,","","-89.618874","20.979721",592,285,108,46,19,14
1985,"Restaurante Tropical","cocktail","7:00 - 23:45","$$ - $$$","4.5"," **N.º 56** de 553 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d1129695-Reviews-Tropical_Playa_del_Carmen-Playa_del_Carmen_Yucatan_Peninsula.html","45","45","40","40","$141 - $612","Mexicana, Caribeña, Latina, Española, Centroamericana","-","Apto para vegetarianos, Opciones veganas, Opciones sin gluten","-","Quinta Avenida Entre Calle 8 Y Calle 10 Nte, Playa del Carmen 77710 México","info@restaurantetropical.mx","+52 984 873 2111","Quinta Avenida","México","Playa del Carmen 77710,","Entre Calle 8 Y Calle 10 Nte","-87.072578","20.626234",772,320,144,38,22,18
1986,"La Isla de Marin's","cocktail","12:00 - 7:00","$$ - $$$","4.5"," **N.º 39** de 493 Mexicana en Puerto Vallarta","Certificado de ExcelenciaGanador en 2016 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g150793-d2205370-Reviews-La_Isla_de_Marin_s-Puerto_Vallarta.html","50","45","50","45","-","Mexicana, Mariscos","Almuerzo, Cena","-","Comida para llevar, Asiento, Sirve alcohol, Servicio de mesa","Calle Matamoros # 869 entre Allende y 31 de Octubre, Puerto Vallarta 48304
México","","+52 322 222 4292","Calle Matamoros # 869","México","Puerto Vallarta 48304,","entre Allende y 31 de Octubre","-105.230942","20.612873",140,82,26,2,0,1
1987,"Los Chilaquiles","cocktail","","$$ - $$$","4.5","**N.º 7** de 201 Mexicana en Zapopan","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1006488-d13239026-Reviews-Los_Chilaquiles-Zapopan_Guadalajara_Metropolitan_Area.html","45","45","35","0","-","Mexicana","Desayuno, Brunch, Almuerzo","Apto para vegetarianos","-","Av. Patria 1484, Zapopan 45110 México","","+52 33 3610 2623","Av. Patria 1484","México","Zapopan 45110,","","-103.415833","20.698568",80,50,12,7,1,1
1988,"Villa Rica Vallejo","cocktail","11:00 - 22:00","$$ - $$$","5"," **N.º 61** de 2,114 Mexicana en Ciudad de México","-","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d14145237-Reviews-Villa_Rica_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html","50","50","45","0","$25 - $1,000","Mexicana, Mariscos, Latina","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Calzada vallejo Parque Vía Vallejo, Ciudad de México 02340 México","controldecalidad@villa-rica.com","+52 55 2124 0020","Calzada vallejo","México","Ciudad de México 02340,","Parque Vía Vallejo","-99.151398","19.487181",92,83,7,0,0,2
1989,"La Inombrable Cantina","cocktail","Ver todos los horarios","$$ - $$$","4"," **N.º 192** de 553 Mexicana en Playa del Carmen","Certificado de ExcelenciaGanador en 2017","https://www.tripadvisor.com.mx//Restaurant_Review-g150812-d9602762-Reviews-Restaurante_La_Inombrable-Playa_del_Carmen_Yucatan_Peninsula.html","40","40","40","0","$5 - $100","Mexicana, Contemporánea","Cena, Abierto hasta tarde, Bebidas, Almuerzo","-","-","Mza 007 Av. Petempich Plaza Punto 115 Local 3 Y 4 Fracc. Los Olivos, Playa del
Carmen 77711 México","inombrableplayadelcarmen@gmail.com","+52 984 688 3770","Mza 007 Av. Petempich","México","Playa del Carmen 77711,","Plaza Punto 115 Local 3 Y 4 Fracc. Los Olivos","-87.077057","20.661179",49,26,10,7,3,1
1990,"Holbox B Â S I C O","cocktail","14:00 - 0:00","$$ - $$$","4.5"," **N.º 11** de 56 Mexicana en Isla Holbox","-","https://www.tripadvisor.com.mx//Restaurant_Review-g616319-d19657268-Reviews-Holbox_B_A_S_I_C_O-Holbox_Island_Yucatan_Peninsula.html","50","50","50","0","$300 - $700","Mexicana, Mariscos, Internacional, Parrilla, Bar de vinos","Almuerzo, Cena, Abierto hasta tarde, Bebidas","-","-","Calle Tiburon Ballena Entre Pedro Joaquin y Damero, Isla Holbox 77310 México","contactoholboxbasico@gmail.com","+52 984 196 1378","Calle Tiburon Ballena","México","Isla Holbox 77310,","Entre Pedro Joaquin y Damero","-87.379814","21.524057",116,84,2,1,0,0
1991,"King Fish","cocktail","13:00 - 20:00","$$ - $$$","4"," **N.º 18** de 262 Pizzería en Ciudad de México","Certificado de ExcelenciaGanador en 2018","https://www.tripadvisor.com.mx//Restaurant_Review-g150800-d4027843-Reviews-King_Fish-Mexico_City_Central_Mexico_and_Gulf_Coast.html","40","45","40","35","-","Pizzería, Mariscos, Internacional","Almuerzo, Cena, Bebidas","-","Reservaciones, Asiento, Estacionamiento disponible, Televisión, Acceso para
silla de ruedas, Bar completo, Wi-Fi gratis, Servicio de mesa, Sillitas altas
disponibles, Sirve alcohol, Acepta tarjetas de crédito, Música en vivo, Lleva
tu propia bebida","Juan Salvador Agraz 97, Torre Paragón, Local L Santa Fe, Ciudad de México
05300 México","kingfish@loscanarios.com.mx","+52 55 5292 7063","Juan Salvador Agraz 97, Torre Paragón, Local L","México","Ciudad de México 05300,","Santa Fe","-99.277962","19.358166",79,27,31,8,6,0
1992,"Fresco Bar and Grill","cocktail","12:00 - 17:30","$$ - $$$","5"," **N.º 1** de 2 Caribeña en Holbox","-","https://www.tripadvisor.com.mx//Restaurant_Review-g15327568-d17755462-Reviews-Fresco_Bar_and_Grill-Holbox_Holbox_Island_Yucatan_Peninsula.html","45","50","50","0","$471 - $1,059","Mariscos, Internacional, Parrilla, Caribeña","Desayuno, Almuerzo, Cena, Bebidas","-","-","Av. Pedro Joaquin Coldwell Entre las calles Chabelita y Paseo Carey, Holbox,
Isla Holbox 77310 México","reservationsbho-cun@mystiqueresorts.com","","Av. Pedro Joaquin Coldwell","México","Holbox, Isla Holbox 77310,","Entre las calles Chabelita y Paseo Carey","-87.383842","21.520445",109,43,4,0,0,1
1993,"Cau Cau","cocktail","13:00 - 1:00","$$$$","4.5"," **N.º 18** de 122 Mexicana en San Pedro Garza García","Certificado de ExcelenciaGanador en 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1154799-d12548171-Reviews-Cau_Cau-San_Pedro_Garza_Garcia_Monterrey_Northern_Mexico.html","45","40","40","0","$180 - $580","Mexicana, Peruana, Latina, Mariscos","-","Opciones sin gluten","-","Morelos #405, San Pedro Garza García, Monterrey 66230 México","reservaciones@caucau.mx","+52 81 8338 1935","Morelos #405","México","San Pedro Garza García, Monterrey 66230,","","-100.401428","25.664696",63,28,16,3,2,2
1994,"Los Delfines","cocktail","","$$ - $$$","4","**N.º 15** de 83 Mexicana en Campeche","Certificado de ExcelenciaGanador en 2016, 2018 - 2019","https://www.tripadvisor.com.mx//Restaurant_Review-g1632078-d4675464-Reviews-Los_Delfines-Campeche_Yucatan_Peninsula.html","45","45","40","45","-","Mariscos, Mexicana, Internacional","Almuerzo, Cena","-","Reservaciones, Asientos al aire libre, Asiento, Estacionamiento disponible,
Sillitas altas disponibles, Acceso para silla de ruedas, Sirve alcohol, Bar
completo, Servicio de mesa, Comida para llevar","Pedro Sainz de Baranda, Campeche 24028 México","","+52 981 171 6060","Pedro Sainz de Baranda","México","Campeche 24028,","","-90.511902","19.864672",102,36,25,9,5,5
